QuintCode,HdCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q005,H007B,420.2,6.3,393.9,446.5, 
Q006,H007B,1754.4, , , ,NA
Q007,H007B,56885,2.5,55482,58287, 
Q008,H007B,64849,2.4,63317,66381, 
Q001,H007C,125.7,10.7,112.3,139.2, 
Q002,H007C,115.6,12.3,101.4,129.8, 
Q003,H007C,105.3,13.7,90.9,119.6, 
Q004,H007C,92.8,13.7,80.1,105.5, 
Q005,H007C,83.7,15.4,70.8,96.6, 
Q006,H007C,523.1, , , ,NA
Q007,H007C,48529,5.5,45840,51219, 
Q008,H007C,56055,4.5,53560,58549, 
Q001,H007D,79.8,10.3,71.6,88.1, 
Q002,H007D,71,12.2,62.3,79.7, 
Q003,H007D,66.8,11.3,59.2,74.4, 
Q004,H007D,69.7,13.6,60.2,79.2, 
Q005,H007D,60.2,14.9,51.2,69.2, 
Q006,H007D,347.5, , , ,NA
Q007,H007D,50536,6,47503,53568, 
Q008,H007D,58059,4,55756,60361, 
Q001,H007E,44.5,17.4,36.8,52.3, 
Q002,H007E,52,17.3,43,61, 
Q003,H007E,55,18.6,44.8,65.2, 
Q004,H007E,47.9,16.3,40.1,55.7, 
Q005,H007E,32.2,23.2,24.7,39.7, 
Q006,H007E,231.7, , , ,NA
Q007,H007E,51472,5,48922,54022, 
Q008,H007E,57303,6.5,53601,61006, 
Q001,H007F,29.4,16.2,24.6,34.2, 
Q002,H007F,26.7,19.3,21.5,31.8, 
Q003,H007F,27.8,19.5,22.4,33.3, 
Q004,H007F,25.6,19.5,20.6,30.6, 
Q005,H007F,18.7,24.5,14.1,23.3, 
Q006,H007F,128.2, , , ,NA
Q007,H007F,49503,8.4,45368,53638, 
Q008,H007F,56531,5.7,53319,59743, 
Q001,H007G,65.1,13.3,56.4,73.7, 
Q002,H007G,61.8,14.1,53.1,70.5, 
Q003,H007G,51.4,16.1,43.1,59.6, 
Q004,H007G,45.2,19.2,36.5,53.9, 
Q005,H007G,31,24.2,23.5,38.5, 
Q006,H007G,254.5, , , ,NA
Q007,H007G,46434,6.6,43368,49500, 
Q008,H007G,51349,4.3,49142,53555, 
Q001,H007H,78.9,12.4,69.1,88.6, 
Q002,H007H,88.9,11.3,78.9,99, 
Q003,H007H,102.6,11,91.2,113.9, 
Q004,H007H,114.6,9.4,103.8,125.3, 
Q005,H007H,153.6,9.1,139.6,167.5, 
Q006,H007H,538.5, , , ,NA
Q007,H007H,60882,3.7,58655,63108, 
Q008,H007H,69570,3.8,66957,72184, 
Q001,H007I,45.3,18,37.1,53.4, 
Q002,H007I,43.4,17.1,35.9,50.8, 
Q003,H007I,37,16.3,31,43.1, 
Q004,H007I,36.8,18.3,30,43.5, 
Q005,H007I,33.5,23.6,25.5,41.4, 
Q006,H007I,195.9, , , ,NA
Q007,H007I,50051,9.2,45464,54638, 
Q008,H007I,58434,6.2,54831,62037, 
Q001,H007J,120.2,10.1,108,132.3, 
Q002,H007J,149.1,8.9,135.8,162.4, 
Q003,H007J,146.6,10.6,131.1,162.1, 
Q004,H007J,138,9.7,124.6,151.3, 
Q005,H007J,124.6,11.5,110.3,138.9, 
Q006,H007J,678.5, , , ,NA
Q007,H007J,53142,2.9,51620,54663, 
Q008,H007J,60267,3.7,58047,62487, 
Q001,H007K,52.9,19.6,42.6,63.3, 
Q002,H007K,50.1,17.6,41.3,59, 
Q003,H007K,42.2,16.8,35.1,49.3, 
Q004,H007K,52.2,13.2,45.2,59.1, 
Q005,H007K,51,16.8,42.5,59.6, 
Q006,H007K,248.5, , , ,NA
Q007,H007K,54470,8.1,50035,58906, 
Q008,H007K,60697,5.8,57205,64188, 
Q001,H007L,28.1,18.2,23,33.2, 
Q002,H007L,22.4,23.1,17.2,27.6, 
Q003,H007L,20.1,27.8,14.5,25.7, 
Q004,H007L,20.4,24.3,15.4,25.3, 
Q005,H007L,12.6,30.5,8.7,16.4, 
Q006,H007L,103.6, , , ,NA
Q007,H007L,47074,10.9,41946,52202, 
Q008,H007L,52513,6.8,48935,56091, 
Q001,H008A,358.6,6.8,334.4,382.9, 
Q002,H008A,366.9,7,341.3,392.5, 
Q003,H008A,289.5,7.4,268.2,310.8, 
Q004,H008A,227.3,9.2,206.5,248.1, 
Q005,H008A,183.3,10.1,164.8,201.8, 
Q006,H008A,1425.6,3.1,1381,1470.3, 
Q007,H008A,45693,2.8,44424,46962, 
Q008,H008A,53265,2.3,52045,54484, 
Q001,H008B,675.4,4.3,646.1,704.7, 
Q002,H008B,682.3,4.5,651.3,713.2, 
Q003,H008B,751.1,5.5,710.2,792.1, 
Q004,H008B,813.5,4.2,779.5,847.5, 
Q005,H008B,856.4,4.3,819.7,893.1, 
Q006,H008B,3778.7,1.2,3734,3823.3, 
Q007,H008B,56485,1.2,55796,57175, 
Q008,H008B,63893,1.5,62967,64820, 
