QuintCode,PdCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
Q006,P009B,3569.6,0.6,3546.6,3592.5, 
Q007,P009B,55725,1,55173,56277, 
Q008,P009B,63173,1.1,62466,63879, 
Q001,P009C,100.1,10,90.1,110.1, 
Q002,P009C,108.1,10,97.3,118.9, 
Q003,P009C,105.2,9.6,95.2,115.3, 
Q004,P009C,101.1,10.1,90.8,111.3, 
Q005,P009C,81.7,12.8,71.2,92.1, 
Q006,P009C,496.2,4.8,472.3,520.1, 
Q007,P009C,51047,3.2,49404,52691, 
Q008,P009C,56490,2.9,54876,58105, 
