Year,MsCode,RegCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
2021,M002,R012,6.8,2.5,4.4,9.3,
2022,M002,R012,,,,,S
2023,M002,R012,10.4,4.7,5.7,15,
2024,M002,R012,8.6,3.9,4.7,12.4,
2019,M002,R013,9.2,0.6,8.6,9.8,
2020,M002,R013,7.6,0.6,7,8.2,
2021,M002,R013,7.1,0.5,6.6,7.6,
2022,M002,R013,7.4,0.8,6.7,8.2,
2023,M002,R013,8.6,0.7,7.9,9.3,
2024,M002,R013,9.4,0.6,8.8,10,
