PerCode,DwCode,Year,Estimate,SE,LowerCIB,UpperCIB
P001,D007B,2022,62.3,2.3,60,64.6
P001,D008A,2022,312.5,15.3,297.2,327.8
P001,D008B,2022,82,2.4,79.5,84.4
P002,D001A,2022,366.9,18.3,348.6,385.2
P002,D001B,2022,29.3,1.3,28,30.6
P002,D002A,2022,359.8,18.6,341.2,378.3
P002,D002B,2022,55.1,2.4,52.8,57.5
P002,D003A,2022,727.3,23.3,704,750.7
P002,D003B,2022,38.1,1.2,36.9,39.3
P002,D004A,2022,153.2,13.5,139.6,166.7
P002,D004B,2022,40.2,2.9,37.3,43
P002,D005A,2022,178.3,12.6,165.7,190.9
P002,D005B,2022,46.8,2.7,44.1,49.5
P002,D006A,2022,183,11.5,171.4,194.5
P002,D006B,2022,47.8,2.7,45.1,50.5
P002,D007A,2022,144.1,12.2,131.9,156.3
P002,D007B,2022,37.7,2.3,35.4,40
P002,D008A,2022,68.8,9.5,59.3,78.3
P002,D008B,2022,18,2.4,15.6,20.5
P003,D001A,2022,258.5,15.3,243.2,273.8
P003,D001B,2022,20.6,1.1,19.5,21.8
P003,D002A,2022,278.4,17.4,261,295.8
P003,D002B,2022,42.7,2.4,40.2,45.1
P003,D003A,2022,537.5,20.5,517,558
P003,D003B,2022,28.2,1.1,27.1,29.2
P003,D004A,2022,127,11.4,115.6,138.4
P003,D004B,2022,33.3,2.4,30.9,35.7
P003,D005A,2022,155.1,12.1,143,167.3
P003,D005B,2022,40.7,2.7,38,43.4
P003,D006A,2022,131.1,10.2,120.9,141.4
P003,D006B,2022,34.3,2.6,31.7,36.8
P003,D007A,2022,88.1,9.3,78.8,97.5
P003,D007B,2022,23.1,2,21.1,25.1
P003,D008A,2022,36.1,6.8,29.3,42.9
P003,D008B,2022,9.5,1.8,7.7,11.3
P004,D001A,2022,133.8,10.3,123.5,144.1
P004,D001B,2022,10.7,0.8,9.9,11.5
P004,D002A,2022,157.3,13.1,144.2,170.4
P004,D002B,2022,24.1,1.9,22.2,26
P004,D003A,2022,291.7,16.3,275.3,308
P004,D003B,2022,15.3,0.9,14.4,16.1
P004,D004A,2022,98.1,10.9,87.3,109
P004,D004B,2022,25.7,2.4,23.4,28.1
P004,D005A,2022,100.9,10.3,90.6,111.1
P004,D005B,2022,26.5,2.4,24.1,28.8
P004,D006A,2022,52.6,7.3,45.2,59.9
P004,D006B,2022,13.7,1.9,11.8,15.7
P004,D007A,2022,31.8,6,25.9,37.8
P004,D007B,2022,8.3,1.5,6.9,9.8
P004,D008A,2022,8.2,3,5.2,11.2
P004,D008B,2022,2.2,0.8,1.4,3
P001,D001A,2023,845.3,16.5,828.8,861.8
P001,D001B,2023,66.3,1.1,65.3,67.4
P001,D002A,2023,295.1,15.5,279.6,310.5
P001,D002B,2023,43.7,1.8,41.9,45.5
P001,D003A,2023,1142.1,16.8,1125.2,1158.9
P001,D003B,2023,58.5,0.9,57.6,59.3
P001,D004A,2023,211.4,10.7,200.7,222
P001,D004B,2023,54,2.2,51.8,56.1
P001,D005A,2023,197.1,8.7,188.4,205.8
P001,D005B,2023,50.6,1.9,48.7,52.5
P001,D006A,2023,197.6,10.9,186.7,208.4
P001,D006B,2023,50.5,2.3,48.3,52.8
P001,D007A,2023,233.8,11.1,222.8,244.9
P001,D007B,2023,59.9,2,58,61.9
P001,D008A,2023,302.2,11.5,290.8,313.7
P001,D008B,2023,77.4,1.9,75.5,79.3
P002,D001A,2023,429.4,15.9,413.5,445.3
P002,D001B,2023,33.7,1.1,32.6,34.7
P002,D002A,2023,380,15.2,364.8,395.1
P002,D002B,2023,56.3,1.8,54.5,58.1
P002,D003A,2023,810.6,16.8,793.8,827.4
P002,D003B,2023,41.5,0.9,40.7,42.4
P002,D004A,2023,180.1,10.9,169.3,191
P002,D004B,2023,46,2.2,43.9,48.2
P002,D005A,2023,192.3,11.3,181,203.6
P002,D005B,2023,49.4,1.9,47.5,51.3
P002,D006A,2023,193.4,10.9,182.5,204.3
P002,D006B,2023,49.5,2.3,47.2,51.7
P002,D007A,2023,156.5,8.7,147.8,165.2
P002,D007B,2023,40.1,2,38.1,42
P002,D008A,2023,88.2,8.3,79.9,96.6
P002,D008B,2023,22.6,1.9,20.7,24.5
P003,D001A,2023,316.3,13.7,302.6,330
P003,D001B,2023,24.8,0.9,23.9,25.8
P003,D002A,2023,300.4,14.1,286.2,314.5
P003,D002B,2023,44.5,1.8,42.7,46.3
P003,D003A,2023,617.6,16.2,601.5,633.8
P003,D003B,2023,31.6,0.8,30.8,32.5
P003,D004A,2023,153.3,10.2,143,163.5
P003,D004B,2023,39.2,2.2,37,41.4
P003,D005A,2023,172,10.9,161,182.9
P003,D005B,2023,44.2,2,42.1,46.2
P003,D006A,2023,146.2,8.8,137.4,155
P003,D006B,2023,37.4,2,35.4,39.4
P003,D007A,2023,96.4,7.7,88.7,104.2
P003,D007B,2023,24.7,1.9,22.9,26.6
P003,D008A,2023,49.7,6.2,43.5,55.9
P003,D008B,2023,12.7,1.4,11.3,14.2
P004,D001A,2023,167.1,10.8,156.3,177.8
P004,D001B,2023,13.1,0.8,12.3,13.9
P004,D002A,2023,187.5,12.4,175.1,199.8
P004,D002B,2023,27.8,1.7,26.1,29.4
P004,D003A,2023,355.2,14.9,340.4,370.1
P004,D003B,2023,18.2,0.8,17.4,19
P004,D004A,2023,121.2,9.6,111.6,130.8
P004,D004B,2023,31,2.1,28.9,33.1
P004,D005A,2023,119.1,9.1,110,128.2
P004,D005B,2023,30.6,1.9,28.7,32.5
P004,D006A,2023,64.5,7.1,57.4,71.5
P004,D006B,2023,16.5,1.8,14.7,18.3
P004,D007A,2023,33.2,4.8,28.4,37.9
P004,D007B,2023,8.5,1.2,7.3,9.7
P004,D008A,2023,17.3,3.6,13.7,20.9
P004,D008B,2023,4.4,0.9,3.5,5.3
P001,D001A,2024,836.7,14.8,821.9,851.6
P001,D001B,2024,65.7,1,64.7,66.7
P001,D002A,2024,301.2,11.4,289.9,312.6
P001,D002B,2024,42.1,1.4,40.7,43.4
P001,D003A,2024,1142.3,15.3,1127,1157.7
P001,D003B,2024,57.3,0.8,56.5,58.1
P001,D004A,2024,210.7,10.9,199.8,221.6
P001,D004B,2024,52.9,2.2,50.7,55.1
P001,D005A,2024,205.3,8.9,196.4,214.2
P001,D005B,2024,51.4,1.8,49.7,53.2
P001,D006A,2024,191.4,8.8,182.7,200.2
P001,D006B,2024,48,1.6,46.4,49.5
P001,D007A,2024,233.9,9.6,224.3,243.5
P001,D007B,2024,58.8,1.6,57.2,60.4
P001,D008A,2024,300.9,9.8,291.2,310.7
P001,D008B,2024,75.4,1.7,73.7,77.1
P002,D001A,2024,436.8,14.5,422.3,451.3
P002,D001B,2024,34.3,1,33.3,35.3
P002,D002A,2024,414.5,13.7,400.8,428.2
P002,D002B,2024,57.9,1.4,56.6,59.3
P002,D003A,2024,851.7,15.3,836.3,867
P002,D003B,2024,42.7,0.8,41.9,43.5
P002,D004A,2024,187.7,9.4,178.3,197.2
P002,D004B,2024,47.1,2.2,44.9,49.3
P002,D005A,2024,193.9,10.1,183.8,204
P002,D005B,2024,48.6,1.8,46.8,50.3
P002,D006A,2024,207.8,8.9,198.8,216.7
P002,D006B,2024,52,1.6,50.5,53.6
P002,D007A,2024,164,8.1,155.9,172.1
P002,D007B,2024,41.2,1.6,39.6,42.8
P002,D008A,2024,98.3,7.7,90.6,105.9
P002,D008B,2024,24.6,1.7,22.9,26.3
P003,D001A,2024,338.7,12.3,326.5,351
P003,D001B,2024,26.6,0.8,25.8,27.4
P003,D002A,2024,328.3,12.9,315.4,341.2
P003,D002B,2024,45.9,1.4,44.4,47.3
